NAME,CATEGORY,CODE,UNIT COST,SELLING PRICE,QTY,UNIT,REORDER_LEVEL,SUPPLIER,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
ADJUSTABLE FLASHER OTAKA,ELECTRICAL,FF,₱55.00,₱150.00,7,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER LAZX BEATFI,CVT/TRANSMISSION,BLF,₱285.00,₱410.00,2,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER MRTR AEROX155,CVT/TRANSMISSION,NNS,₱110.00,₱250.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER MRTR BEAT,CVT/TRANSMISSION,LS,₱80.00,₱200.00,5,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER MRTR XRM110,CVT/TRANSMISSION,LS,₱80.00,₱200.00,5,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER PITSBIKE ADV150/PCX150,CVT/TRANSMISSION,MBS,₱420.00,₱680.00,2,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL BEATV2,CVT/TRANSMISSION,NQS,₱130.00,₱280.00,18,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL CLICK125/150,CVT/TRANSMISSION,NFS,₱150.00,₱300.00,6,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL GRAVIS/GEAR,CVT/TRANSMISSION,NMS,₱140.00,₱300.00,1,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL MIO/MIOAMORE,CVT/TRANSMISSION,JS,₱90.00,₱250.00,10,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL MIOI125,CVT/TRANSMISSION,NBS,₱120.00,₱250.00,21,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL NMAX/AEROX YAO40F,CVT/TRANSMISSION,BBS,₱220.00,₱450.00,14,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL R150,CVT/TRANSMISSION,NBS,₱120.00,₱250.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL SMASH115,CVT/TRANSMISSION,NBS,₱120.00,₱250.00,7,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL SNIPER150MXI/155FI,CVT/TRANSMISSION,NNS,₱110.00,₱250.00,8,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUNTAL ZOOMER/BEATFI(V1),CVT/TRANSMISSION,NNS,₱110.00,₱250.00,21,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUPER VALIANT CLICK150,CVT/TRANSMISSION,NLS,₱180.00,₱400.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AIR FILTER SUPER VALIANT MIOGRAVIS,CVT/TRANSMISSION,NBS,₱120.00,₱250.00,10,PC,0,NA,,,,,,,,,,,,,,,,
ALLOY LEVER RCB HONDAVARIO150/CLICK150/AIRBLADE BLU,ACCESSORIES,VJS,₱790.00,"₱1,100.00",1,SET,0,NA,,,,,,,,,,,,,,,,
ALLOY LEVER RCB HONDAVARIO150/CLICK150/AIRBLADE RED,ACCESSORIES,VJS,₱790.00,"₱1,100.00",1,SET,0,NA,,,,,,,,,,,,,,,,
ALLOY LEVER RCB YAMAHA NMAX BLU,ACCESSORIES,VJS,₱790.00,"₱1,100.00",1,SET,0,NA,,,,,,,,,,,,,,,,
ANTI RUST SHERCAR,LUBE&FLUIDS,LS,₱80.00,₱135.00,8,PC,0,NA,,,,,,,,,,,,,,,,
ANTIRUST SHERCAR,LUBE&FLUIDS,LS,₱80.00,₱135.00,10,PC,0,NA,,,,,,,,,,,,,,,,
AXLE PIVOT CSL C100/DREAM,CHASSIS,MF,₱45.00,₱120.00,5,PC,0,NA,,,,,,,,,,,,,,,,
AXLE PIVOT CSL FURY,CHASSIS,MF,₱45.00,₱120.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AXLE PIVOT CSL RAIDER150,CHASSIS,MF,₱45.00,₱120.00,6,PC,0,NA,,,,,,,,,,,,,,,,
AXLE PIVOT CSL SMASH115,CHASSIS,MF,₱45.00,₱120.00,2,PC,0,NA,,,,,,,,,,,,,,,,
AXLE PIVOT CSL WAVE125,CHASSIS,MF,₱45.00,₱120.00,1,PC,0,NA,,,,,,,,,,,,,,,,
AXLE PIVOT CSL WAVE125/XRM125,CHASSIS,MF,₱45.00,₱120.00,2,PC,0,NA,,,,,,,,,,,,,,,,
AXLE PIVOT CSL XRM110,CHASSIS,MF,₱45.00,₱120.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL FURY/FURY125,CHASSIS,MS,₱40.00,₱120.00,5,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL RAIDER J,CHASSIS,MS,₱40.00,₱120.00,2,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL RAIDER J110,CHASSIS,MS,₱40.00,₱120.00,2,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL RAIDER150,CHASSIS,MS,₱40.00,₱120.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL RUSI125,CHASSIS,ZS,₱60.00,₱120.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL TMX155,CHASSIS,MF,₱45.00,₱120.00,4,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL WAVE125,CHASSIS,MS,₱40.00,₱120.00,6,PC,0,NA,,,,,,,,,,,,,,,,
AXLE REAR CSL XRM/WAVE110,CHASSIS,MS,₱40.00,₱120.00,2,PC,0,NA,,,,,,,,,,,,,,,,
BACK COWLING SMASH115 BLK,FAIRINGS,QBS,₱320.00,₱550.00,15,PC,0,NA,,,,,,,,,,,,,,,,
BACK FENDER XRM125 BLK,FAIRINGS,QSC,₱300.00,₱550.00,1,PC,0,NA,,,,,,,,,,,,,,,,
BACKSEAT S/S TMX CHROME,CHASSIS,QLS,₱380.00,₱750.00,2,PC,0,NA,,,,,,,,,,,,,,,,
BACKSEAT STEEL TMX BLK,CHASSIS,QSC,₱300.00,₱650.00,5,PC,0,NA,,,,,,,,,,,,,,,,
